Z,N,A,Nat_abundance,atomic_mass
1,0,1,99.9855,1.007825032
1,1,2,0.0145,2.014101778
2,1,3,0.0002,3.016029322
2,2,4,99.9998,4.002603254
3,3,6,4.85,6.015122887
3,4,7,95.15,7.016003434
4,5,9,100,9.012183062
5,5,10,19.65,10.01293686
5,6,11,80.35,11.00930517
6,6,12,98.94,12
6,7,13,1.06,13.00335484
7,7,14,99.6205,14.003074
7,8,15,0.3795,15.0001089
8,8,16,99.757,15.99491462
8,9,17,0.03835,16.99913176
8,10,18,0.2045,17.99915961
9,10,19,100,18.99840316
10,10,20,90.48,19.99244018
10,11,21,0.27,20.99384669
10,12,22,9.25,21.99138511
11,12,23,100,22.98976928
12,12,24,78.965,23.98504169
12,13,25,10.011,24.98583697
12,14,26,11.025,25.98259297
13,14,27,100,26.98153841
14,14,28,92.2545,27.97692653
14,15,29,4.672,28.97649466
14,16,30,3.0735,29.97377014
15,16,31,100,30.973762
16,16,32,94.85,31.97207117
16,17,33,0.763,32.97145891
16,18,34,4.365,33.96786701
16,20,36,0.0158,35.96708069
17,18,35,75.8,34.96885269
17,20,37,24.2,36.96590257
18,18,36,0.3336,35.96754511
18,20,38,0.0629,37.9627321
18,22,40,99.6035,39.96238312
19,20,39,93.2581,38.96370648
19,21,40,0.0117,39.96399817
19,22,41,6.7302,40.96182526
20,20,40,96.941,39.96259085
20,22,42,0.647,41.95861778
20,23,43,0.135,42.95876638
20,24,44,2.086,43.95548149
20,26,46,0.004,45.95368773
20,28,48,0.187,47.95252265
21,24,45,100,44.95590705
22,24,46,8.25,45.95262636
22,25,47,7.44,46.95175749
22,26,48,73.72,47.94794068
22,27,49,5.41,48.94786439
22,28,50,5.18,49.94478562
23,27,50,0.25,49.94715668
23,28,51,99.75,50.94395766
24,26,50,4.345,49.94604221
24,28,52,83.789,51.94050471
24,29,53,9.501,52.9406463
24,30,54,2.365,53.93887736
25,30,55,100,54.93804304
26,28,54,5.845,53.93960819
26,30,56,91.754,55.93493554
26,31,57,2.119,56.93539195
26,32,58,0.282,57.93327358
27,32,59,100,58.93319352
28,30,58,68.0769,57.93534165
28,32,60,26.2231,59.93078513
28,33,61,1.1399,60.93105482
28,34,62,3.6345,61.92834475
28,36,64,0.9256,63.92796623
29,34,63,69.15,62.92959712
29,36,65,30.85,64.92778948
30,34,64,49.17,63.92914178
30,36,66,27.73,65.92603364
30,37,67,4.04,66.92712742
30,38,68,18.45,67.92484423
30,40,70,0.61,69.92531918
31,38,69,60.108,68.92557353
31,40,71,39.892,70.92470255
32,38,70,20.52,69.92424854
32,40,72,27.45,71.92207582
32,41,73,7.76,72.92345895
32,42,74,36.52,73.92117776
32,44,76,7.75,75.92140273
33,42,75,100,74.92159456
34,40,74,0.86,73.92247593
34,42,76,9.23,75.9192137
34,43,77,7.6,76.91991415
34,44,78,23.69,77.91730924
34,46,80,49.8,79.91652176
34,48,82,8.82,81.91669953
35,44,79,50.65,78.91833757
35,46,81,49.35,80.9162882
36,42,78,0.355,77.92036634
36,44,80,2.286,79.91637794
36,46,82,11.593,81.91348115
36,47,83,11.5,82.91412652
36,48,84,56.987,83.91149773
36,50,86,17.279,85.91061062
37,48,85,72.17,84.91178974
37,50,87,27.83,86.90918053
38,46,84,0.56,83.91341912
38,48,86,9.86,85.90926072
38,49,87,7,86.90887749
38,50,88,82.58,87.90561225
39,50,89,100,88.90583816
40,50,90,51.45,89.90469876
40,51,91,11.22,90.90564021
40,52,92,17.15,91.90503534
40,54,94,17.38,93.90631252
40,56,96,2.8,95.90827762
41,52,93,100,92.90637317
42,50,92,14.649,91.90680715
42,52,94,9.187,93.90508359
42,53,95,15.873,94.90583744
42,54,96,16.673,95.90467477
42,55,97,9.582,96.9060169
42,56,98,24.292,97.90540361
42,58,100,9.744,99.90746798
44,52,96,5.54,95.90758891
44,54,98,1.87,97.90528671
44,55,99,12.76,98.90593028
44,56,100,12.6,99.90421046
44,57,101,17.06,100.9055731
44,58,102,31.55,101.9043403
44,60,104,18.62,103.9054253
45,58,103,100,102.9054941
46,56,102,1.02,101.9056323
46,58,104,11.14,103.9040304
46,59,105,22.33,104.9050795
46,60,106,27.33,105.9034803
46,62,108,26.46,107.9038918
46,64,110,11.72,109.9051729
47,60,107,51.839,106.9050915
47,62,109,48.161,108.9047558
48,58,106,1.245,105.9064598
48,60,108,0.888,107.9041836
48,62,110,12.47,109.9030075
48,63,111,12.795,110.9041838
48,64,112,24.109,111.9027639
48,65,113,12.227,112.9044081
48,66,114,28.754,113.903365
48,68,116,7.512,115.9047632
49,64,113,4.281,112.9040605
49,66,115,95.719,114.9038788
50,62,112,0.97,111.9048249
50,64,114,0.66,113.9027801
50,65,115,0.34,114.9033447
50,66,116,14.54,115.9017428
50,67,117,7.68,116.902954
50,68,118,24.22,117.9016066
50,69,119,8.59,118.9033113
50,70,120,32.58,119.9022026
50,72,122,4.63,121.9034455
50,74,124,5.79,123.9052796
51,70,121,57.21,120.9038114
51,72,123,42.79,122.9042153
52,68,120,0.09,119.9040658
52,70,122,2.55,121.9030447
52,71,123,0.89,122.904271
52,72,124,4.74,123.9028183
52,73,125,7.07,124.9044312
52,74,126,18.84,125.9033121
52,76,128,31.74,127.9044612
52,78,130,34.08,129.9062227
53,74,127,100,126.9044726
54,70,124,0.095,123.9058852
54,72,126,0.089,125.9042974
54,74,128,1.91,127.9035308
54,75,129,26.401,128.9047809
54,76,130,4.071,129.9035093
54,77,131,21.232,130.9050841
54,78,132,26.909,131.9041551
54,80,134,10.436,133.905393
54,82,136,8.857,135.9072145
55,78,133,100,132.905452
56,74,130,0.11,129.906326
56,76,132,0.1,131.9050612
56,78,134,2.42,133.9045082
56,79,135,6.59,134.9056884
56,80,136,7.85,135.9045758
56,81,137,11.23,136.9058272
56,82,138,71.7,137.9052471
57,81,138,0.08881,137.907124
57,82,139,99.91119,138.9063629
58,78,136,0.186,135.9071293
58,80,138,0.251,137.9059942
58,82,140,88.449,139.9054484
58,84,142,11.114,141.9092502
59,82,141,100,140.9076596
60,82,142,27.153,141.9077288
60,83,143,12.173,142.9098198
60,84,144,23.798,143.9100928
60,85,145,8.293,144.9125792
60,86,146,17.189,145.9131225
60,88,148,5.756,147.916899
60,90,150,5.638,149.9209013
62,82,144,3.08,143.9120063
62,85,147,15,146.9149044
62,86,148,11.25,147.9148292
62,87,149,13.82,148.9171912
62,88,150,7.37,149.917282
62,90,152,26.74,151.9197386
62,92,154,22.74,153.9222158
63,88,151,47.81,150.9198566
63,90,153,52.19,152.9212368
64,88,152,0.2,151.9197984
64,90,154,2.18,153.920873
64,91,155,14.8,154.9226294
64,92,156,20.47,155.9221301
64,93,157,15.65,156.9239674
64,94,158,24.84,157.9241112
64,96,160,21.86,159.9270612
65,94,159,100,158.9253537
66,90,156,0.056,155.9242836
66,92,158,0.095,157.9244148
66,94,160,2.329,159.9252036
66,95,161,18.889,160.9269394
66,96,162,25.475,161.9268045
66,97,163,24.896,162.9287372
66,98,164,28.26,163.9291808
67,98,165,100,164.9303291
68,94,162,0.139,161.9287873
68,96,164,1.601,163.9292077
68,98,166,33.503,165.9303011
68,99,167,22.869,166.9320562
68,100,168,26.978,167.9323783
